2026-01-27T13:46:28.6847215+09:00	ERR	VISION-CMD			Connect failed 127.0.0.1:3000 - 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다.
2026-01-27T04:46:37.3077789Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:37.3080758Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:37.3095788Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:37.3099576Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:37.3101659Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:37.6095947Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:37.6100815Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:37.6104780Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:37.6108049Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:37.6110892Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:37.6113963Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:37.7629726Z	TX	ROBOT			!992152B
2026-01-27T04:46:37.9117753Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:37.9121369Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:37.9123298Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:37.9125938Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:37.9127807Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:37.9129937Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.2129926Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:38.2142927Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:38.2153791Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:38.2163930Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:38.2174439Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.2184779Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.3714539Z	TX	ROBOT			!992152B
2026-01-27T04:46:38.5195869Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:38.5199314Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:38.5202420Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:38.5205590Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:38.5208585Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.5213292Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.8214696Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:38.8226504Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:38.8237951Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:38.8248807Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:38.8259087Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.8269315Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:38.9749190Z	TX	ROBOT			!992152B
2026-01-27T04:46:39.1281095Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:39.1286110Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:39.1288629Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:39.1291548Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:39.1293968Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:39.1295793Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:39.4295675Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:39.4301521Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:39.4303664Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:39.4306424Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:39.4308292Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:39.4310860Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:39.5755266Z	TX	ROBOT			!992152B
2026-01-27T04:46:39.7317233Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:39.7329796Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:39.7340303Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:39.7350676Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:39.7360908Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:39.7371399Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.0375018Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.0379269Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.0382404Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.0385087Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.0387653Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.0390454Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.1797045Z	TX	ROBOT			!992152B
2026-01-27T04:46:40.3388179Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.3397444Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.3404871Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.3411622Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.3417921Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.3424695Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.6422879Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.6432599Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.6439090Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.6445115Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.6450800Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.6458687Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.7813855Z	TX	ROBOT			!992152B
2026-01-27T04:46:40.9468343Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.9473350Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:40.9476628Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.9479198Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:40.9481890Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:40.9484725Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.2480440Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:41.2485274Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:41.2489108Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:41.2492313Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:41.2495277Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.2497949Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.3845629Z	TX	ROBOT			!992152B
2026-01-27T04:46:41.5503556Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:41.5508715Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:41.5511025Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:41.5514096Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:41.5517289Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.5520883Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.8517660Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:41.8530126Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:41.8539416Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:41.8548015Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.8556624Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:41.8568169Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:41.9856072Z	TX	ROBOT			!992152B
2026-01-27T04:46:42.1556805Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:42.1561408Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:42.1565324Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:42.1576863Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:42.1580100Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:42.1582535Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:42.4572024Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:42.4584059Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:42.4594016Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:42.4604426Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:42.4614765Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:42.4625912Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:42.5868503Z	TX	ROBOT			!992152B
2026-01-27T04:46:42.7620462Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:42.7623692Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:42.7626237Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:42.7640649Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:42.7643183Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:42.7645627Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.0632469Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.0638405Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.0644222Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.0647156Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.0650400Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.0653091Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.1877231Z	TX	ROBOT			!992152B
2026-01-27T04:46:43.3662939Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.3667374Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.3671184Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.3674511Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.3676788Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.3679844Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.6682648Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.6694627Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.6705367Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.6714369Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.6724361Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.6734453Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.7903203Z	TX	ROBOT			!992152B
2026-01-27T04:46:43.9738628Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.9752213Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:43.9763648Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.9773791Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:43.9784056Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:43.9793993Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.2816975Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:44.2821091Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:44.2824501Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:44.2827821Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:44.2829875Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.2832490Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.3938054Z	TX	ROBOT			!992152B
2026-01-27T04:46:44.5836127Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:44.5845246Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:44.5850733Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:44.5856622Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:44.5862304Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.5866509Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.8876988Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:44.8881482Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:44.8885038Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:44.8887827Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:44.8890430Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.8893240Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:44.9940486Z	TX	ROBOT			!992152B
2026-01-27T04:46:45.1894493Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:45.1903786Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:45.1910298Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:45.1915761Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:45.1921150Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:45.1926438Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:45.4925062Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:45.4928654Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:45.4931257Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:45.4933780Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:45.4936506Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:45.4939014Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:45.5960315Z	TX	ROBOT			!992152B
